date,start,end,categorynum,category,details,amount,work,anxiety,attempts,day,times
3/2,5:00 PM,6:00 PM,1,Chores,Cooking,4,school,2,1,Monday,12:00 AM
3/2,7:00 PM,8:00 PM,5,ETC,Skincare,4,school,3,1,Monday,1:00 AM
3/3,5:00 PM,6:00 PM,2,Media Consumption,Youtube,2,school,5,2,Tuesday,2:00 AM
3/3,11:00 PM,12:00 AM,4,Socializing,Movies with Friends,1,school,1,0,Tuesday,3:00 AM
3/4,12:00 PM,1:00 PM,3,Social Media,Twitter,1,school,3,0,Wednesday,4:00 AM
3/4,5:00 PM,6:00 PM,1,Chores,Cooking,2,school,4,2,Wednesday,5:00 AM
3/4,7:00 PM,8:00 PM,2,Media Consumption,Youtube,2,school,5,1,Wednesday,6:00 AM
3/5,5:00 PM,6:00 PM,3,Social Media,Online Shopping,2,school,1,1,Thursday,7:00 AM
3/5,9:00 PM,10:00 PM,2,Media Consumption,Netflix: Love is Blind,2,school,1,0,Thursday,8:00 AM
3/6,5:00 PM,6:00 PM,3,Social Media,Twitter,2,school,3,0,Friday,9:00 AM
3/6,8:00 PM,9:00 PM,3,Social Media,Online Shopping,2,work,3,0,Friday,10:00 AM
3/7,10:00 AM,11:00 AM,4,Socializing,Hang Out,1,school,1,0,Saturday,11:00 AM
3/7,11:00 AM,12:00 PM,4,Socializing,Hang Out,1,school,1,0,Saturday,12:00 PM
3/7,12:00 PM,1:00 PM,5,ETC,Shopping,1,school,1,0,Saturday,1:00 PM
3/8,1:00 PM,2:00 PM,3,Social Media,Tumblr,1,school,2,2,Sunday,2:00 PM
3/8,3:00 PM,4:00 PM,3,Social Media,Twitter,1,school,2,1,Sunday,3:00 PM
3/8,4:00 PM,5:00 PM,4,Socializing,Hang Out,1,school,2,3,Sunday,4:00 PM
3/8,12:00 AM,1:00 AM,2,Media Consumption,Netflix: Love is Blind,1,school,2,2,Sunday,5:00 PM
3/8,2:00 AM,3:00 AM,4,Socializing,Movies with Friends,1,school,2,2,Sunday,6:00 PM
3/9,4:00 PM,5:00 PM,1,Chores,Customer Service Problems,1,school,1,2,Monday,7:00 PM
3/9,7:00 PM,8:00 PM,2,Media Consumption,Netflix: Love is Blind,3,school,5,5,Monday,8:00 PM
3/9,10:00 PM,11:00 PM,4,Socializing,Movies with Friends,3,school,5,5,Monday,9:00 PM
3/10,5:00 PM,6:00 PM,5,ETC,Arts and Crafts,2,school,4,4,Tuesday,10:00 PM
3/10,8:00 PM,9:00 PM,3,Social Media,Twitter,2,school,3,5,Tuesday,11:00 PM
3/11,6:00 PM,7:00 PM,3,Social Media,Twitter,3,school,2,1,Wednesday,
3/11,7:00 PM,8:00 PM,2,Media Consumption,Netflix: Crash Landing,3,school,2,3,Wednesday,
3/12,10:00 AM,11:00 AM,4,Socializing,Hang Out,3,school,2,1,Thursday,
3/12,11:00 AM,12:00 PM,4,Socializing,Hang Out,3,school,2,1,Thursday,
