date,start,startformat,end,endformat,categorynum,category,details,amount,work,anxiety,attempts,day,times
03-02,17:00:00,03/02/2020 17:00:00,6:00 PM,03/02/2020 18:00:00,1,Chores,Cooking,4,school,2,1,Monday,12:00 AM
03-02,19:00:00,03/02/2020 19:00:00,8:00 PM,03/02/2020 20:00:00,5,ETC,Skincare,4,school,3,1,Monday,1:00 AM
03-03,17:00:00,03/03/2020 17:00:00,6:00 PM,03/03/2020 18:00:00,2,Media Consumption,Youtube,2,school,5,2,Tuesday,2:00 AM
03-03,23:00:00,03/03/2020 23:00:00,12:00 AM,03/03/2020 00:00:00,4,Socializing,Movies with Friends,1,school,1,0,Tuesday,3:00 AM
03-04,12:00:00,03/04/2020 12:00:00,1:00 PM,03/04/2020 13:00:00,3,Social Media,Twitter,1,school,3,0,Wednesday,4:00 AM
03-04,17:00:00,03/04/2020 17:00:00,6:00 PM,03/04/2020 18:00:00,1,Chores,Cooking,2,school,4,2,Wednesday,5:00 AM
03-04,19:00:00,03/04/2020 19:00:00,8:00 PM,03/04/2020 20:00:00,2,Media Consumption,Youtube,2,school,5,1,Wednesday,6:00 AM
03-05,17:00:00,03/05/2020 17:00:00,6:00 PM,03/05/2020 18:00:00,3,Social Media,Online Shopping,2,school,1,1,Thursday,7:00 AM
03-05,21:00:00,03/05/2020 21:00:00,10:00 PM,03/05/2020 22:00:00,2,Media Consumption,Netflix: Love is Blind,2,school,1,0,Thursday,8:00 AM
03-06,17:00:00,03/06/2020 17:00:00,6:00 PM,03/06/2020 18:00:00,3,Social Media,Twitter,2,school,3,0,Friday,9:00 AM
03-06,20:00:00,03/06/2020 20:00:00,9:00 PM,03/06/2020 21:00:00,3,Social Media,Online Shopping,2,work,3,0,Friday,10:00 AM
03-07,10:00:00,03/07/2020 10:00:00,11:00 AM,03/07/2020 11:00:00,4,Socializing,Hang Out,1,school,1,0,Saturday,11:00 AM
03-07,11:00:00,03/07/2020 11:00:00,12:00 PM,03/07/2020 12:00:00,4,Socializing,Hang Out,1,school,1,0,Saturday,12:00 PM
03-07,12:00:00,03/07/2020 12:00:00,1:00 PM,03/07/2020 13:00:00,5,ETC,Shopping,1,school,1,0,Saturday,1:00 PM
03-08,13:00:00,03/08/2020 13:00:00,2:00 PM,03/08/2020 14:00:00,3,Social Media,Tumblr,1,school,2,2,Sunday,2:00 PM
03-08,15:00:00,03/08/2020 15:00:00,4:00 PM,03/08/2020 16:00:00,3,Social Media,Twitter,1,school,2,1,Sunday,3:00 PM
03-08,16:00:00,03/08/2020 16:00:00,5:00 PM,03/08/2020 17:00:00,4,Socializing,Hang Out,1,school,2,3,Sunday,4:00 PM
03-08,0:00:00,03/08/2020 00:00:00,1:00 AM,03/08/2020 01:00:00,2,Media Consumption,Netflix: Love is Blind,1,school,2,2,Sunday,5:00 PM
03-08,2:00:00,03/08/2020 02:00:00,3:00 AM,03/08/2020 03:00:00,4,Socializing,Movies with Friends,1,school,2,2,Sunday,6:00 PM
03-09,16:00:00,03/09/2020 16:00:00,5:00 PM,03/09/2020 17:00:00,1,Chores,Customer Service Problems,1,school,1,2,Monday,7:00 PM
03-09,19:00:00,03/09/2020 19:00:00,8:00 PM,03/09/2020 20:00:00,2,Media Consumption,Netflix: Love is Blind,3,school,5,5,Monday,8:00 PM
03-09,22:00:00,03/09/2020 22:00:00,11:00 PM,03/09/2020 23:00:00,4,Socializing,Movies with Friends,3,school,5,5,Monday,9:00 PM
03-10,17:00:00,03/10/2020 17:00:00,6:00 PM,03/10/2020 18:00:00,6,Hobby,Arts and Crafts,2,school,4,4,Tuesday,10:00 PM
03-10,20:00:00,03/10/2020 20:00:00,9:00 PM,03/10/2020 21:00:00,3,Social Media,Twitter,2,school,3,5,Tuesday,11:00 PM
03-11,18:00:00,03/11/2020 18:00:00,7:00 PM,03/11/2020 19:00:00,3,Social Media,Twitter,3,school,2,1,Wednesday,
03-11,19:00:00,03/11/2020 19:00:00,8:00 PM,03/11/2020 20:00:00,2,Media Consumption,Netflix: Crash Landing,3,school,2,3,Wednesday,
03-12,10:00:00,03/12/2020 10:00:00,11:00 AM,03/12/2020 11:00:00,4,Socializing,Hang Out,3,school,2,1,Thursday,
03-12,11:00:00,03/12/2020 11:00:00,12:00 PM,03/12/2020 12:00:00,4,Socializing,Hang Out,3,school,2,1,Thursday,
03-12,19:00:00,03/12/2020 19:00:00,8:00 PM,03/12/2020 20:00:00,1,Chores,Customer Service Problems,3,school,2,2,Thursday,
03-13,10:00:00,03/13/2020 10:00:00,11:00 AM,03/13/2020 11:00:00,5,ETC,Event / Concert,3,school,1,2,Friday,
03-13,11:00:00,03/13/2020 11:00:00,12:00 PM,03/13/2020 12:00:00,5,ETC,Event / Concert,3,school,1,1,Friday,
03-13,12:00:00,03/13/2020 12:00:00,1:00 PM,03/13/2020 13:00:00,4,Socializing,Hang Out,3,school,1,0,Friday,
03-13,13:00:00,03/13/2020 13:00:00,2:00 PM,03/13/2020 14:00:00,4,Socializing,Hang Out,3,school,1,0,Friday,
03-13,14:00:00,03/13/2020 14:00:00,3:00 PM,03/13/2020 15:00:00,4,Socializing,Hang Out,3,school,1,0,Friday,
03-14,11:00:00,03/14/2020 11:00:00,12:00 PM,03/14/2020 12:00:00,3,Social Media,iMessage,3,work,3,2,Saturday,
03-14,12:00:00,03/14/2020 12:00:00,1:00 PM,03/14/2020 13:00:00,3,Social Media,iMessage,3,work,3,3,Saturday,
03-14,14:00:00,03/14/2020 14:00:00,3:00 PM,03/14/2020 15:00:00,3,Social Media,iMessage,3,work,3,4,Saturday,
03-14,15:00:00,03/14/2020 15:00:00,4:00 PM,03/14/2020 16:00:00,4,Socializing,Hang Out,3,work,3,1,Saturday,
03-14,17:00:00,03/14/2020 17:00:00,6:00 PM,03/14/2020 18:00:00,3,Social Media,Reading News,3,work,3,2,Saturday,
03-15,14:00:00,03/15/2020 14:00:00,3:00 PM,03/15/2020 15:00:00,3,Social Media,Online Shopping,3,work,3,3,Sunday,
03-16,12:00:00,03/16/2020 12:00:00,1:00 PM,03/16/2020 13:00:00,3,Social Media,Twitter,3,work,5,3,Monday,
03-16,13:00:00,03/16/2020 13:00:00,2:00 PM,03/16/2020 14:00:00,6,Hobby,Arts and Crafts,3,school,5,1,Monday,
03-16,14:00:00,03/16/2020 14:00:00,3:00 PM,03/16/2020 15:00:00,6,Hobby,Arts and Crafts,3,school,5,0,Monday,
03-16,15:00:00,03/16/2020 15:00:00,4:00 PM,03/16/2020 16:00:00,6,Hobby,Arts and Crafts,3,school,5,1,Monday,
03-16,17:00:00,03/16/2020 17:00:00,6:00 PM,03/16/2020 18:00:00,6,Hobby,Arts and Crafts,3,school,5,0,Monday,
03-16,23:00:00,03/16/2020 23:00:00,12:00 AM,03/16/2020 00:00:00,4,Socializing,Movies with Friends,2,school,6,0,Monday,
03-17,11:00:00,03/17/2020 11:00:00,12:00 PM,03/17/2020 12:00:00,3,Social Media,iMessage,2,school,6,1,Tuesday,
03-17,13:00:00,03/17/2020 13:00:00,2:00 PM,03/17/2020 14:00:00,1,Chores,Grocery Shopping,2,school,3,0,Tuesday,
03-17,16:00:00,03/17/2020 16:00:00,5:00 PM,03/17/2020 17:00:00,6,Hobby,Arts and Crafts,2,school,4,2,Tuesday,
03-17,17:00:00,03/17/2020 17:00:00,6:00 PM,03/17/2020 18:00:00,1,Chores,Cooking,2,school,5,3,Tuesday,
03-18,15:00:00,03/18/2020 15:00:00,4:00 PM,03/18/2020 16:00:00,4,Socializing,Movies with Friends,1,school,3,2,Wednesday,
03-18,16:00:00,03/18/2020 16:00:00,5:00 PM,03/18/2020 17:00:00,4,Socializing,Movies with Friends,1,school,3,2,Wednesday,
03-18,17:00:00,03/18/2020 17:00:00,6:00 PM,03/18/2020 18:00:00,6,Hobby,Arts and Crafts,1,school,3,1,Wednesday,
03-18,18:00:00,03/18/2020 18:00:00,7:00 PM,03/18/2020 19:00:00,6,Hobby,Arts and Crafts,1,school,3,0,Wednesday,
03-18,19:00:00,03/18/2020 19:00:00,8:00 PM,03/18/2020 20:00:00,6,Hobby,Arts and Crafts,1,school,3,0,Wednesday,
03-18,20:00:00,03/18/2020 20:00:00,9:00 PM,03/18/2020 21:00:00,6,Hobby,Arts and Crafts,1,school,3,0,Wednesday,
03-18,20:00:00,03/18/2020 20:00:00,9:00 PM,03/18/2020 21:00:00,4,Socializing,Facetime,1,school,3,0,Wednesday,
03-18,21:00:00,03/18/2020 21:00:00,10:00 PM,03/18/2020 22:00:00,4,Socializing,Facetime,1,school,5,0,Wednesday,
03-18,22:00:00,03/18/2020 22:00:00,11:00 PM,03/18/2020 23:00:00,4,Socializing,Facetime,1,school,5,0,Wednesday,
03-19,16:00:00,03/19/2020 16:00:00,5:00 PM,03/19/2020 17:00:00,5,ETC,Nap,2,school,5,0,Thursday,
03-19,20:00:00,03/19/2020 20:00:00,9:00 PM,03/19/2020 21:00:00,3,Social Media,Twitter,2,school,5,5,Thursday,
03-20,2:00:00,03/20/2020 02:00:00,3:00 AM,03/20/2020 03:00:00,3,Social Media,Twitter,1,school,4,1,Friday,
03-20,15:00:00,03/20/2020 15:00:00,4:00 PM,03/20/2020 16:00:00,3,Social Media,Online Shopping,1,school,4,4,Friday,
03-20,18:00:00,03/20/2020 18:00:00,7:00 PM,03/20/2020 19:00:00,6,Hobby,Photoshop,1,school,4,2,Friday,
03-20,19:00:00,03/20/2020 19:00:00,8:00 PM,03/20/2020 20:00:00,6,Hobby,Photoshop,1,school,4,2,Friday,
03-20,21:00:00,03/20/2020 21:00:00,10:00 PM,03/20/2020 22:00:00,2,Media Consumption,Vlive,1,school,4,6,Friday,
03-21,10:00:00,03/21/2020 10:00:00,11:00 AM,03/21/2020 11:00:00,3,Social Media,Twitter,1,school,3,2,Saturday,
03-21,15:00:00,03/21/2020 15:00:00,4:00 PM,03/21/2020 16:00:00,4,Socializing,Movies with Friends,1,school,3,1,Saturday,
03-21,16:00:00,03/21/2020 16:00:00,5:00 PM,03/21/2020 17:00:00,4,Socializing,Movies with Friends,1,school,3,1,Saturday,
03-21,17:00:00,03/21/2020 17:00:00,6:00 PM,03/21/2020 18:00:00,4,Socializing,Movies with Friends,1,school,3,2,Saturday,
03-21,18:00:00,03/21/2020 18:00:00,7:00 PM,03/21/2020 19:00:00,4,Socializing,Movies with Friends,1,school,3,1,Saturday,
03-21,23:00:00,03/21/2020 23:00:00,12:00 AM,03/21/2020 00:00:00,5,Hobby,Photoshop,1,school,3,3,Saturday,
03-22,0:00:00,03/22/2020 00:00:00,1:00 AM,03/22/2020 01:00:00,5,Hobby,Photoshop,1,school,5,1,Sunday,
03-22,2:00:00,03/22/2020 02:00:00,3:00 AM,03/22/2020 03:00:00,5,Hobby,Photoshop,1,school,5,2,Sunday,
03-22,15:00:00,03/22/2020 15:00:00,4:00 PM,03/22/2020 16:00:00,5,Hobby,Photoshop,1,school,5,1,Sunday,
03-22,20:00:00,03/22/2020 20:00:00,9:00 PM,03/22/2020 21:00:00,3,Social Media,Twitter,1,school,5,7,Sunday,
03-23,13:00:00,03/23/2020 13:00:00,2:00 PM,03/23/2020 14:00:00,3,Social Media,Twitter,1,school,5,4,Monday,
03-23,16:00:00,03/23/2020 16:00:00,5:00 PM,03/23/2020 17:00:00,4,Socializing,Facetime,2,school,5,2,Monday,
03-23,18:00:00,03/23/2020 18:00:00,7:00 PM,03/23/2020 19:00:00,4,Socializing,Facetime,2,school,5,5,Monday,
03-23,21:00:00,03/23/2020 21:00:00,10:00 PM,03/23/2020 22:00:00,4,Socializing,Facetime,2,school,5,4,Monday,
03-23,22:00:00,03/23/2020 22:00:00,11:00 PM,03/23/2020 23:00:00,4,Socializing,Facetime,2,school,5,5,Monday,
03-23,23:00:00,03/23/2020 23:00:00,12:00 AM,03/23/2020 00:00:00,4,Socializing,Facetime,2,school,5,2,Monday,
03-24,8:00:00,03/24/2020 08:00:00,9:00 AM,03/24/2020 09:00:00,3,Social Media,Twitter,2,school,5,2,Tuesday,
