date,start,startfor,end,endfor,category,details,amount,work,anxiety,attempts,day
2 Mar 2020,17:00,2 Mar 2020 17:00:00,18:00,2 Mar 2020 18:00:00,Chores,Cooking,4,school,2,1,Monday
2 Mar 2020,19:00,2 Mar 2020 19:00:00,20:00,2 Mar 2020 20:00:00,ETC,Skincare,4,school,3,1,Monday
3 Mar 2020,17:00,3 Mar 2020 17:00:00,20:00,3 Mar 2020 20:00:00,Media Consumption,Youtube,2,school,5,2,Tuesday
3 Mar 2020,23:00,3 Mar 2020 23:00:00,0:00,3 Mar 2020 00:00:00,Socializing,Movies with Friends,1,school,1,0,Tuesday
4 Mar 2020,12:00,4 Mar 2020 12:00:00,13:00,4 Mar 2020 13:00:00,Social Media,Twitter,1,school,3,0,Wednesday
4 Mar 2020,17:00,4 Mar 2020 17:00:00,18:00,4 Mar 2020 18:00:00,Chores,Cooking,2,school,4,2,Wednesday
4 Mar 2020,19:00,4 Mar 2020 19:00:00,20:00,4 Mar 2020 20:00:00,Media Consumption,Youtube,2,school,5,1,Wednesday
5 Mar 2020,17:00,5 Mar 2020 17:00:00,18:00,5 Mar 2020 18:00:00,Social Media,Online Shopping,2,school,1,1,Thursday
5 Mar 2020,21:00,5 Mar 2020 21:00:00,23:00,5 Mar 2020 23:00:00,Media Consumption,Netflix: Love is Blind,2,school,1,0,Thursday
6 Mar 2020,19:00,6 Mar 2020 19:00:00,20:00,6 Mar 2020 20:00:00,Socializing,Facetime,2,school,3,0,Friday
6 Mar 2020,20:00,6 Mar 2020 20:00:00,0:00,6 Mar 2020 00:00:00,Socializing,Facetime,2,work,3,0,Friday
8 Mar 2020,13:00,8 Mar 2020 13:00:00,14:00,8 Mar 2020 14:00:00,Media Consumption,Youtube,1,school,2,2,Sunday
8 Mar 2020,17:00,8 Mar 2020 17:00:00,18:00,8 Mar 2020 18:00:00,Social Media,Twitter,1,school,2,1,Sunday
8 Mar 2020,18:00,8 Mar 2020 18:00:00,23:00,8 Mar 2020 23:00:00,Hobby,Photoshop,1,school,2,3,Sunday
9 Mar 2020,0:00,9 Mar 2020 00:00:00,3:00,9 Mar 2020 03:00:00,Hobby,Photoshop,1,school,1,1,Monday
