make,fuel-type,body style,curb-w8,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
1,31,41,2548,4,130,111,21,27,13495
1,31,41,2548,4,130,111,21,27,16500
1,31,42,2823,6,152,154,19,26,16500
2,31,43,2337,4,109,102,24,30,13950
2,31,43,2824,5,136,115,18,22,17450
2,31,43,2507,5,136,110,19,25,15250
2,31,43,2844,5,136,110,19,25,17710
2,31,44,2954,5,136,110,19,25,18920
2,31,43,3086,5,131,140,17,20,23875
2,31,42,3053,5,131,160,16,22,?
3,31,43,2395,4,108,101,23,29,16430
3,31,43,2395,4,108,101,23,29,16925
3,31,43,2710,6,164,121,21,28,20970
3,31,43,2765,6,164,121,21,28,21105
3,31,43,3055,6,164,121,20,25,24565
3,31,43,3230,6,209,182,16,22,30760
3,31,43,3380,6,209,182,16,22,41315
3,31,43,3505,6,209,182,15,20,36880
4,31,42,1488,3,61,48,47,53,5151
4,31,42,1874,4,90,70,38,43,6295
4,31,43,1909,4,90,70,38,43,6575
5,31,42,1876,4,90,68,37,41,5572
5,31,42,1876,4,90,68,31,38,6377
5,31,42,2128,4,98,102,24,30,7957
5,31,42,1967,4,90,68,31,38,6229
5,31,43,1989,4,90,68,31,38,6692
5,31,43,1989,4,90,68,31,38,7609
5,31,43,2191,4,98,102,24,30,8558 
5,31,44,2535,4,122,88,24,30,8921
5,31,42,2811,4,156,145,19,24,12964
6,31,42,1713,4,92,58,49,54,6479
6,31,42,1819,4,92,76,31,38,6855
6,31,42,1837,4,79,60,38,42,5399
6,31,42,1940,4,92,76,30,34,6529
6,31,42,1956,4,92,76,30,34,7129
6,31,43,2010,4,92,76,30,34,7295
6,31,44,2024,4,92,76,30,34,7295
6,31,42,2236,4,110,86,27,33,7895
6,31,42,2289,4,110,86,27,33,9095
6,31,43,2304,4,110,86,27,33,8845
6,31,43,2372,4,110,86,27,33,10295
6,31,43,2465,4,110,101,24,28,12945
6,31,43,2293,4,110,100,25,31,10345
7,31,43,2337,4,111,78,24,29,6785
7,31,43,1874,4,90,70,38,43,?
7,31,43,1909,4,90,70,38,43,?
7,31,42,2734,4,119,90,24,29,11048
8,31,43,4066,6,258,176,15,19,32250
8,31,43,4066,6,258,176,15,19,35550
8,31,43,3950,12,326,262,13,17,36000
9,31,42,1890,4,91,68,30,31,5195
9,31,42,1900,4,91,68,31,38,6095
9,31,42,1905,4,91,68,31,38,6795
9,31,43,1945,4,91,68,31,38,6695
